,nb_A,nb_W,nb_A_W,nb_A_ma,nb_W_ma
54,30943.5,3590.6,34534.1,30891.26,3699.68
55,30964.0,3607.8,34571.8,30925.88,3677.58
56,30765.3,3609.95,34375.25,30922.02,3656.37
57,31367.65,3594.25,34961.9,30965.78,3628.88
58,32121.1,3585.25,35706.35,31127.3,3611.24
59,31584.35,2798.0,34382.35,31386.57,3544.27
60,32138.65,2734.45,34873.1,31437.54,3450.29
61,33441.1,2092.3,35533.4,31620.23,3288.81
62,32922.7,2018.7,34941.4,31749.39,3127.12
63,32156.6,1927.2,34083.8,31840.5,2955.85
64,32066.5,1819.85,33886.35,31952.8,2778.78
65,31531.65,1702.8,33234.45,32009.56,2588.28
66,32107.65,1703.65,33811.3,32143.8,2397.64
67,32447.6,1736.65,34184.25,32251.79,2211.89
68,32296.15,1743.25,34039.4,32269.3,2027.69
69,32259.25,1747.55,34006.8,32336.78,1922.64
70,29784.3,1547.8,31332.1,32101.35,1803.97
71,29749.55,1554.35,31303.9,31732.19,1750.18
72,29978.5,1601.95,31580.45,31437.78,1708.5
73,31279.1,1594.15,32873.25,31350.02,1675.2
74,32259.75,1599.65,33859.4,31369.35,1653.18
75,32586.2,1646.55,34232.75,31474.8,1647.55
76,32548.3,1636.55,34184.85,31518.87,1640.84
77,32126.4,1659.7,33786.1,31486.75,1633.15
78,31559.55,1683.5,33243.05,31413.09,1627.17
79,30567.6,1687.7,32255.3,31243.92,1621.19
80,29376.75,1729.85,31106.6,31203.17,1639.4
81,27416.5,1760.2,29176.7,30969.86,1659.98
82,27619.2,1790.75,29409.95,30733.94,1678.86
83,27964.9,1828.65,29793.55,30402.52,1702.31
84,27627.5,1915.0,29542.5,29939.29,1733.84
85,27080.15,1985.15,29065.3,29388.69,1767.7
86,25968.55,1946.75,27915.3,28730.71,1798.72
87,25280.0,1869.45,27149.45,28046.07,1819.7
88,26089.25,1883.9,27973.15,27499.04,1839.74
89,26189.7,1899.5,28089.2,27061.25,1860.92
90,26456.85,1930.6,28387.45,26769.26,1880.99
91,26009.7,1884.85,27894.55,26628.58,1893.46
92,25705.6,1810.2,27515.8,26437.22,1895.4
93,24474.1,1818.2,26292.3,26088.14,1894.36
94,23326.8,1807.2,25134.0,25658.07,1883.58
95,22825.1,1740.25,24565.35,25232.56,1859.09
96,23143.85,1754.45,24898.3,24950.09,1839.86
97,23700.35,1751.5,25451.85,24792.13,1828.06
98,24085.5,1790.75,25876.25,24591.76,1818.75
99,23869.3,1811.8,25681.1,24359.72,1809.98
100,25360.75,1919.65,27280.4,24250.1,1808.89
101,26047.75,2035.4,28083.15,24253.91,1823.94
102,26239.35,2043.0,28282.35,24307.28,1847.22
103,26389.35,2030.4,28419.75,24498.81,1868.44
104,26117.3,1935.25,28052.55,24777.86,1881.24
105,26673.2,1894.05,28567.25,25162.67,1896.62
106,27284.6,1940.9,29225.5,25576.75,1915.27
107,27301.6,1949.05,29250.65,25936.87,1935.02
108,26397.05,1933.65,28330.7,26168.02,1949.32
109,26482.3,1979.75,28462.05,26429.32,1966.11
110,26305.6,1996.8,28302.4,26523.81,1973.82
111,26343.75,2037.45,28381.2,26553.41,1974.03
112,26498.9,2047.6,28546.5,26579.36,1974.49
113,26712.8,1998.5,28711.3,26611.71,1971.3
114,27539.0,2000.0,29539.0,26753.88,1977.78
115,27655.3,2018.55,29673.85,26852.09,1990.22
116,27266.45,2016.85,29283.3,26850.27,1997.82
117,26582.2,2002.75,28584.95,26778.34,2003.19
118,25914.05,1939.4,27853.45,26730.03,2003.76
119,26960.55,1939.35,28899.9,26777.86,1999.72
120,26308.9,1841.4,28150.3,26778.19,1984.19
121,25589.4,1726.7,27316.1,26702.75,1953.11
122,25023.45,1707.95,26731.4,26555.21,1919.14
123,26346.35,1863.3,28209.65,26518.56,1905.62
124,28565.45,1855.9,30421.35,26621.21,1891.22
125,34733.0,2046.75,36779.75,27328.98,1894.04
126,34620.4,1978.9,36599.3,28064.38,1890.24
127,36676.6,2063.25,38739.85,29073.81,1896.29
128,37317.05,2082.35,39399.4,30214.12,1910.58
129,37777.35,2061.8,39839.15,31295.8,1922.83
130,37423.5,2033.2,39456.7,32407.25,1942.01
131,39304.1,2177.85,41481.95,33778.72,1987.12
132,41290.95,2262.45,43553.4,35405.48,2042.58
133,41881.5,2275.7,44157.2,36958.99,2083.82
134,41280.3,2299.45,43579.75,38230.48,2128.17
135,41526.3,2314.35,43840.65,38909.8,2154.93
136,44723.6,2504.95,47228.55,39920.12,2207.54
137,45136.85,2543.5,47680.35,40766.15,2255.56
138,45249.5,2556.15,47805.65,41559.39,2302.94
139,45434.85,2567.25,48002.1,42325.14,2353.48
140,49360.75,2525.1,51885.85,43518.87,2402.68
141,51301.25,2502.5,53803.75,44718.58,2435.14
142,51228.35,2499.95,53728.3,45712.32,2458.89
143,49322.75,2381.5,51704.25,46456.45,2469.47
144,47411.75,2407.3,49819.05,47069.59,2480.26
145,40799.7,2229.3,43029.0,46996.94,2471.75
146,40331.3,2253.15,42584.45,46557.7,2446.57
147,38798.95,2206.85,41005.8,45923.92,2412.9
148,41189.65,2433.65,43623.3,45517.93,2400.65
149,43577.8,2585.9,46163.7,45332.22,2402.52
150,44371.9,2587.45,46959.35,44833.34,2408.76
151,43003.85,2416.1,45419.95,44003.6,2400.12
152,40944.3,2333.9,43278.2,42975.2,2383.51
153,40070.35,2305.3,42375.65,42049.96,2375.89
154,39782.8,2273.1,42055.9,41287.06,2362.47
155,39405.95,2226.6,41632.55,41147.68,2362.2
156,36106.4,2027.4,38133.8,40725.2,2339.62
157,35762.75,2009.25,37772.0,40421.58,2319.86
158,35791.6,2019.6,37811.2,39881.77,2278.46
159,36139.2,2073.85,38213.05,39137.91,2227.25
160,35022.5,2490.35,37512.85,38202.97,2217.54
161,33368.15,2521.85,35890.0,37239.4,2228.12
162,33544.05,2543.8,36087.85,36499.38,2249.11
163,34860.25,2492.9,37353.15,35978.37,2267.87
164,35392.6,2488.05,37880.65,35539.34,2289.37
165,37995.35,2518.15,40513.5,35398.28,2318.52
166,39725.85,2568.7,42294.55,35760.23,2372.65
167,39340.75,2532.65,41873.4,36118.03,2424.99
168,36386.9,2308.0,38694.9,36177.56,2453.83
169,33295.75,2126.1,35421.85,35893.22,2459.05
170,32504.35,2105.25,34609.6,35641.4,2420.54
171,31818.7,2094.5,33913.2,35486.46,2377.81
172,31457.2,2080.6,33537.8,35277.77,2331.49
173,31860.8,2079.1,33939.9,34977.82,2290.11
174,32439.9,2098.45,34538.35,34682.56,2251.15
175,32501.35,2119.65,34621.0,34133.16,2211.3
176,32901.0,2110.6,35011.6,33450.67,2165.49
177,32689.9,2098.35,34788.25,32785.59,2122.06
178,32791.1,2080.1,34871.2,32426.0,2099.27
179,30952.05,1991.9,32943.95,32191.64,2085.85
180,26847.95,1575.25,28423.2,31626.0,2032.85
181,27212.1,1580.45,28792.55,31165.34,1981.45
182,27308.45,1619.35,28927.8,30750.46,1935.32
183,26307.6,1598.65,27906.25,30195.14,1887.28
184,25496.4,1607.75,27104.15,29500.79,1838.21
185,23484.65,1619.35,25104.0,28599.12,1788.18
186,22755.65,1616.15,24371.8,27584.59,1738.73
187,22961.95,1625.6,24587.55,26611.79,1691.46
188,24085.2,1664.45,25749.65,25741.2,1649.89
189,25541.1,1712.3,27253.4,25200.11,1621.93
190,26062.8,1735.7,27798.5,25121.59,1637.98
191,26756.0,1795.7,28551.7,25075.98,1659.5
192,28128.15,1836.55,29964.7,25157.95,1681.22
193,27796.85,1844.45,29641.3,25306.88,1705.8
194,27458.3,1816.1,29274.4,25503.06,1726.64
195,27775.7,1859.2,29634.9,25932.17,1750.62
196,28035.4,1909.15,29944.55,26460.14,1779.92
197,28081.05,1918.95,30000.0,26972.06,1809.26
198,28059.85,1920.25,29980.1,27369.52,1834.84
199,27973.75,1895.95,29869.7,27612.78,1853.2
200,27887.3,1903.8,29791.1,27795.23,1870.01
201,27849.1,1879.95,29729.05,27904.54,1878.44
202,28169.6,1815.75,29985.35,27908.69,1876.36
203,27803.6,1831.4,29635.0,27909.36,1875.05
204,27860.3,1815.75,29676.05,27949.56,1875.02
205,27008.55,1736.4,28744.95,27872.85,1862.74
206,26081.65,1705.45,27787.1,27677.48,1842.37
207,25578.35,1680.65,27259.0,27427.2,1818.54
208,24159.45,1592.9,25752.35,27037.16,1785.8
209,23650.25,1586.7,25236.95,26604.82,1754.88
210,24030.7,1650.0,25680.7,26219.16,1729.5
211,23496.85,1596.35,25093.2,25783.93,1701.13
212,22344.1,1547.5,23891.6,25201.38,1674.31
213,22662.25,1562.0,24224.25,24687.25,1647.37
214,23215.25,1624.15,24839.4,24222.74,1628.21
215,23342.3,1646.85,24989.15,23856.12,1619.26
216,22707.3,1628.55,24335.85,23518.68,1611.56
217,23846.25,1741.75,25588.0,23345.47,1617.68
218,23933.85,1806.95,25740.8,23322.91,1639.08
219,23863.25,1820.5,25683.75,23344.21,1662.46
220,23964.5,1802.9,25767.4,23337.59,1677.75
221,24442.55,1799.55,26242.1,23432.16,1698.07
222,25475.75,1815.75,27291.5,23745.32,1724.89
