nb_A,nb_W,nb_A_W,nb_implicit_W,nb_dup_A,nb_dup_W,nb_A_prefix,nb_W_prefix,max_A_prefix,avg_A_prefix,max_A_AS,avg_A_AS,nb_new_A,nb_new_A_afterW
30930.1,3869.2,34799.3,14709.6,11272.65,28.85,4353.25,1700,1176.6,14.25,3721.65,68.6,3736.15,1211.7
30505.9,3761.55,34267.45,14475.75,11276.8,27.75,4460.2,1687.5,1183.25,13.55,3691.7,66.15,3562.35,1191
28991.6,3467.75,32459.35,13518.4,11020.1,26.25,4405.85,1656.05,1200.2,13.3,3567.1,64.45,3337.5,1115.6
31628.95,3674.25,35303.2,15342.9,11602.1,25.15,4453.3,1717.8,1217.4,13.85,6076.05,69.25,3367.95,1316
31614.25,3707.1,35321.35,15412.05,11458.95,24.55,4155.45,1722.6,1232.55,14.25,6148.35,74.4,3414.65,1328.6
31631.1,3635.55,35266.65,15458.45,11363.95,23.9,4094.25,1726.35,1242,14.45,6143.6,75.2,3486.5,1322.2
31245.55,3639.95,34885.5,15362.65,11113.8,23.9,3962.9,1702.9,1258.9,15.1,6133.9,77.6,3438.5,1330.6
30943.5,3590.6,34534.1,15159.1,10967,22.55,3943.6,1680,1271.75,15.3,6112.3,77,3505.85,1311.55
30964,3607.8,34571.8,15118,10900.4,22.7,4042.9,1696.4,1272.85,14.55,6091.7,72.4,3636.75,1308.85
30765.3,3609.95,34375.25,14784.6,10778.3,22.8,4275.05,1708.35,1274.75,12.5,5955.25,64.3,3904.15,1298.25
31367.65,3594.25,34961.9,14650.85,10726.75,21.5,4751.5,1706.25,1273.6,11.15,5955.6,59.8,4696.9,1293.15
32121.1,3585.25,35706.35,14548.5,10917.35,21.65,5329.8,1704.95,1266.15,9.75,5950.3,54.7,5371.5,1283.75
31584.35,2798,34382.35,13952.2,10383.05,13.8,6356.85,1030.85,1264.35,9.05,5463.05,50.9,6019.6,1229.5
32138.65,2734.45,34873.1,13452.75,10564.65,14.1,7776.05,1014,1252.7,8.75,5274.25,49.7,6925.05,1196.2
33441.1,2092.3,35533.4,13326.45,9793.4,14.05,8603.55,384.85,1251.5,8.7,5289.3,49.6,9132.8,1188.45
32922.7,2018.7,34941.4,13208.2,9224.45,13.3,8495.2,340.45,1263.15,8.7,5271.05,49.55,9309.25,1180.8
32156.6,1927.2,34083.8,12998.5,9011.1,12.55,8477.75,332.45,1275.8,8.4,5354.95,51.25,9015.5,1131.5
32066.5,1819.85,33886.35,13057.95,8930.65,10.65,8521.05,311.6,1270.5,8.25,5597.85,50.75,8979.65,1098.25
31531.65,1702.8,33234.45,12922.95,9129.5,9.85,8473.25,286.25,1269.1,8.25,5599.9,50.35,8409.75,1069.45
32107.65,1703.65,33811.3,13356.9,9309.45,10.2,8624.35,312.05,1273.95,8.2,5834.35,49.45,8379.5,1061.8
32447.6,1736.65,34184.25,13626.35,9278.3,10.6,8420.6,336.2,1279.9,8.5,6203.55,51.3,8478.15,1064.8
32296.15,1743.25,34039.4,13647,9208.35,13.05,8301.75,341.95,1274.4,8.95,6264.4,53.5,8386.1,1054.7
32259.25,1747.55,34006.8,13628.6,9147.95,13.55,8195.7,339.9,1264,9.4,6261.45,54.85,8429.1,1053.6
29784.3,1547.8,31332.1,11917,8656.1,14.3,8209.45,275.9,1259.45,8.8,3775.7,49.3,8350.65,860.55
29749.55,1554.35,31303.9,11886.3,8525.65,14.1,8422.25,273.25,1254.6,8.4,3762.75,43.3,8470.55,867.05
29978.5,1601.95,31580.45,11949.35,8644.6,13.8,8528.55,271,1251.35,8.2,3724.45,41.2,8507.5,877.05
31279.1,1594.15,32873.25,12390,9054.05,15.6,8565.35,275.45,1247.55,8.55,4018.45,45.95,8950.4,884.65
32259.75,1599.65,33859.4,12435.95,10006.2,15.95,9100.95,283.7,1222.85,7.4,4050.35,42.1,8931.65,885.95
32586.2,1646.55,34232.75,12496.5,10418.55,15.8,9246.6,280.35,1204.3,7.3,4049.65,42,8782.7,888.45
32548.3,1636.55,34184.85,12513.3,10603.8,15.75,9160.8,270.05,1188.3,7.4,4042.95,43.2,8541.25,889.95
