nb_A,nb_W,nb_A_W
27239.75,1832.25,29043.5
24235.25,1686.3,25891.7
23755.5,1699.0,25422.2
23313.5,1700.35,24981.9
23101.7,1703.3,24776.0
22938.6,1703.55,24612.05
23005.35,1706.2,24682.7
22865.35,1714.8,24546.05
23550.85,1745.65,25261.7
24325.9,1784.25,26078.6
24145.0,1826.8,25942.6
23463.65,1832.0,25266.75
23779.9,1856.0,25605.2
24128.7,1893.55,25985.8
25660.6,1925.15,27486.05
29295.55,1982.1,31178.05
31522.15,2039.85,33462.8
31871.4,2129.75,33902.0
32121.35,2197.5,34220.5
32630.3,2185.45,34715.95
32292.9,2204.05,34396.1
32117.55,2192.15,34211.0
35960.75,2169.5,38019.8
39078.0,2231.0,41200.85
40175.4,2254.05,42320.9
40503.85,2294.25,42688.3
40513.95,2322.35,42725.0
40617.65,2331.75,42839.4
39898.45,2310.9,42098.55
40263.7,2287.7,42439.55
40421.05,2270.65,42579.7
40391.0,2267.3,42545.75
40315.45,2261.85,42468.6
39958.25,2253.3,42111.7
38161.05,2212.35,40337.25
33966.8,2150.55,36078.45
31512.6,2095.0,33566.2
30986.8,2014.05,32960.3
31054.9,1971.45,32984.8
32507.15,2024.05,34477.6
32798.9,2015.55,34761.05
33042.1,2089.6,35077.8
29079.15,2091.6,31130.85
25973.2,2031.8,27961.35
25297.6,2007.5,27260.3
25681.4,1994.0,27633.35
25681.9,1968.6,27603.15
25612.4,1956.5,27525.0
25556.55,1974.2,27488.35
25037.3,1997.85,26991.15
24307.6,1942.8,26207.55
24539.8,1923.4,26380.2
25339.7,1898.3,27155.2
27526.5,2117.25,29539.9
29755.8,2180.2,31831.4
29888.3,2169.9,31952.05
30208.55,2152.95,32256.45
30320.35,2168.95,32380.4
29800.6,2129.85,31822.1
27461.2,2075.45,29414.6
28371.95,2103.4,30351.75
28553.9,2034.75,30464.8
29196.55,2068.25,31141.5
29553.8,2100.0,31530.15
29476.3,2141.7,31493.7
28945.85,2136.7,30955.8
28822.7,2148.35,30849.85
28785.75,2154.4,30819.5
28728.25,2130.85,30738.2
28281.45,2103.85,30264.15
28308.75,2126.3,30311.85
28289.45,2235.1,30442.1
27577.8,2254.65,29745.7
25216.2,2043.4,27192.25
23023.65,2007.75,24965.35
22969.75,2047.75,24950.95
24570.45,2065.4,26570.9
26340.8,2068.2,28342.45
26348.3,2072.25,28353.85
26895.7,2079.65,28934.9
25637.15,2057.45,27656.25
25229.1,2042.6,27233.1
24707.35,2016.9,26684.25
24539.0,1997.95,26500.65
24731.65,1976.05,26673.6
24695.15,1958.6,26621.05
24588.65,1934.85,26491.45
24786.3,1926.95,26668.7
25690.25,1934.95,27577.1
26599.85,1942.55,28494.35
27366.9,1929.35,29234.5
28505.6,1838.15,30276.25
28665.1,1825.8,30426.5
29909.15,1813.8,31660.2
31200.8,1797.0,32932.5
31531.5,1762.55,33231.0
29884.25,1758.25,31578.95
28402.95,1763.85,30107.4
29257.15,1774.8,30972.35
28593.55,1767.1,30300.6
28608.25,1769.4,30315.5
29849.75,1904.2,31690.95
30867.5,1946.0,32750.95
31111.7,1940.35,32989.25
31053.15,1946.25,32935.8
31130.25,1962.75,33026.95
31895.9,1989.4,33817.15
31936.95,2019.45,33898.65
31013.65,2033.3,32991.4
29854.25,2054.25,31853.45
28898.75,2048.8,30907.45
27546.6,2009.45,29520.4
29028.7,1994.4,30969.65
29401.2,2005.45,31352.6
28943.25,2000.5,30800.15
29989.35,2019.45,31866.2
31249.9,2023.2,33131.1
31422.25,2002.4,33271.65
32044.1,1990.05,33881.6
32831.75,2004.4,34683.2
32982.05,1979.8,34811.05
31913.85,1846.1,33610.35
30868.6,1803.45,32520.65
30744.95,1822.55,32414.5
30418.1,1805.0,32065.85
30398.15,1787.95,32032.35
29591.1,1768.75,31207.4
29390.45,1741.85,30981.9
30296.0,1717.5,31862.95
30941.95,1691.15,32482.05
31670.95,1702.8,33224.05
31704.65,1728.65,33284.65
30269.0,1748.35,31887.05
28861.95,1747.25,30478.65
28270.4,1783.65,30011.9
27026.9,1806.1,28790.55
25600.45,1848.4,27403.65
25705.75,2002.45,27674.8
26511.0,2124.7,28594.0
27080.0,2133.0,29170.95
27677.75,2163.9,29798.6
27453.5,2173.4,29584.4
27569.8,2202.35,29727.6
27381.9,2179.2,29517.3
27276.35,2159.45,29390.7
27061.4,2146.95,29162.7
27107.9,2141.95,29205.1
27181.3,2142.05,29276.25
26920.5,2207.75,29080.95
26698.3,2266.2,28919.65
26607.0,2264.65,28823.05
26611.5,2253.6,28816.4
26087.7,2276.0,28314.5
26032.5,2254.35,28238.0
26293.6,2223.45,28469.0
26361.4,2196.1,28508.75
26553.0,2175.3,28682.4
26026.45,2030.7,28010.5
26071.6,1941.3,27974.55
25060.15,1938.0,26960.55
24384.7,1937.6,26284.7
25022.0,1927.0,26910.4
25713.05,2037.55,27716.9
25822.7,2069.1,27858.4
26166.95,2093.2,28232.5
26097.0,2100.9,28169.0
26214.25,2093.3,28278.85
26672.7,2095.8,28741.6
26214.3,2036.6,28225.25
25844.85,1967.6,27786.2
25385.9,1967.45,27329.25
25077.6,1968.9,27021.95
24916.4,1937.6,26830.55
24790.3,1944.25,26711.0
25396.7,1954.65,27316.2
25405.95,1955.85,27327.9
25241.2,1949.5,27156.35
25620.15,1940.25,27526.75
23819.8,1908.3,25695.55
23746.75,1883.35,25598.1
24330.9,1861.65,26080.95
23708.35,1872.35,25469.45
22846.95,1729.2,24464.7
