nb_A,nb_W,nb_A_W,nb_A_ma,nb_W_ma
23659.25,1608.0,25267.25,25488.59,1665.24
23494.45,1617.8,25112.25,25143.24,1654.8
23734.65,1618.7,25353.35,24828.25,1645.89
23804.15,1641.7,25445.85,24543.38,1636.37
23488.85,1635.75,25124.6,24264.74,1629.56
23358.0,1652.45,25010.45,24008.21,1626.99
23232.5,1649.05,24881.55,23774.12,1627.46
22700.2,1652.75,24352.95,23582.48,1630.0
22576.9,1672.3,24249.2,23396.48,1636.38
22578.0,1665.0,24243.0,23262.7,1641.35
22479.2,1707.0,24186.2,23144.69,1651.25
21576.35,1673.5,23249.85,22952.88,1656.82
21249.5,1638.05,22887.55,22704.36,1658.76
21244.8,1559.95,22804.75,22448.43,1650.58
21565.45,1543.2,23108.65,22256.09,1641.32
21580.1,1560.7,23140.8,22078.3,1632.15
21337.1,1552.95,22890.05,21888.76,1622.54
20808.4,1533.55,22341.95,21699.58,1610.62
20334.3,1506.7,21841.0,21475.32,1594.06
20310.9,1503.85,21814.75,21248.61,1577.95
20418.0,1513.7,21931.7,21042.49,1558.62
20355.55,1533.05,21888.6,20920.41,1544.57
19873.5,1502.15,21375.65,20782.81,1530.98
19650.0,1451.3,21101.3,20623.33,1520.12
19589.0,1416.4,21005.4,20425.68,1507.44
19812.05,1421.7,21233.75,20248.88,1493.54
20552.9,1516.95,22069.85,20170.46,1489.94
20630.35,1502.95,22133.3,20152.66,1486.88
20394.55,1483.85,21878.4,20158.68,1484.59
20084.05,1465.2,21549.25,20136.0,1480.73
19681.1,1422.9,21104.0,20062.3,1471.64
19741.4,1443.55,21184.95,20000.89,1462.7
19537.0,1452.5,20989.5,19967.24,1457.73
26187.25,1479.15,27666.4,20620.96,1460.52
30807.75,1491.7,32299.45,21742.84,1468.04
39539.35,1490.7,41030.05,23715.57,1474.95
40949.1,1526.75,42475.85,25755.19,1475.93
41210.65,1558.4,42769.05,27813.22,1481.47
41876.55,1629.3,43505.85,29961.42,1496.02
42196.7,1755.5,43952.2,32172.69,1525.04
43281.35,1825.8,45107.15,34532.71,1565.33
43925.5,1857.0,45782.5,36951.12,1606.68
44126.0,1879.2,46005.2,39410.02,1649.35
44254.8,1915.55,46170.35,41216.78,1692.99
43988.05,1919.65,45907.7,42534.81,1735.79
43895.0,1879.45,45774.45,42970.37,1774.66
43092.15,1759.8,44851.95,43184.68,1797.96
43189.85,1769.8,44959.65,43382.6,1819.1
43356.75,1799.15,45155.9,43530.62,1836.09
43706.5,1839.7,45546.2,43681.6,1844.51
44064.3,1837.6,45901.9,43759.89,1845.69
43903.1,1817.45,45720.55,43757.65,1841.74
44052.8,1851.95,45904.75,43750.33,1839.01
37572.0,1890.35,39462.35,43082.05,1836.49
33005.15,1870.75,34875.9,41983.76,1831.6
24486.25,1855.35,26341.6,40042.88,1829.19
23588.0,1822.75,25410.75,38092.47,1835.48
23403.4,1776.5,25179.9,36113.83,1836.16
22677.0,1725.45,24402.45,34045.85,1828.79
22471.1,1610.9,24082.0,31922.31,1805.91
21324.7,1537.3,22862.0,29648.35,1775.88
20782.3,1485.35,22267.65,27336.27,1742.66
20855.75,1479.45,22335.2,25016.56,1705.42
20796.3,1473.85,22270.15,23339.0,1663.76
20688.05,1463.05,22151.1,22107.28,1623.0
20432.25,1435.2,21867.45,21701.88,1580.98
20441.15,1430.9,21872.05,21387.2,1541.8
19929.15,1388.3,21317.45,21039.78,1502.98
19916.5,1353.3,21269.8,20763.72,1465.76
20020.25,1323.55,21343.8,20518.64,1437.02
20171.95,1334.1,21506.05,20403.37,1416.7
20450.0,1352.5,21802.5,20370.14,1403.42
20554.8,1354.85,21909.65,20340.04,1390.96
21445.85,1324.75,22770.6,20405.0,1376.05
21501.45,1324.2,22825.65,20486.34,1362.17
21351.3,1318.05,22669.35,20578.24,1350.45
21156.6,1320.6,22477.2,20649.78,1339.42
21273.35,1340.55,22613.9,20784.21,1334.64
21327.4,1329.45,22656.85,20925.3,1332.26
21566.2,1379.15,22945.35,21079.89,1337.82
21438.75,1357.55,22796.3,21206.57,1340.16
21663.5,1362.95,23026.45,21327.92,1341.21
22022.65,1386.35,23409.0,21474.7,1344.36
23644.2,1409.3,25053.5,21694.54,1352.82
25348.45,1444.2,26792.65,22079.24,1364.82
25460.0,1450.7,26910.7,22490.11,1378.08
25630.3,1511.0,27141.3,22937.48,1397.12
25667.25,1517.85,27185.1,23376.87,1414.85
25311.2,1505.45,26816.65,23775.25,1432.45
24766.3,1479.05,26245.35,24095.26,1442.44
24232.25,1472.05,25704.3,24374.61,1453.89
23843.65,1442.0,25285.65,24592.62,1461.79
23561.4,1403.0,24964.4,24746.5,1463.46
22165.2,1380.65,23545.85,24598.6,1460.59
21825.1,1396.9,23222.0,24246.26,1455.86
21765.0,1408.8,23173.8,23876.77,1451.68
22373.4,1429.6,23803.0,23551.08,1443.54
22389.2,1436.6,23825.8,23223.27,1435.41
22678.75,1433.45,24112.2,22960.02,1428.21
22735.25,1383.65,24118.9,22756.92,1418.67
22856.35,1443.25,24299.6,22619.33,1415.79
22907.25,1430.55,24337.8,22525.69,1414.64
22476.95,1389.1,23866.05,22417.25,1413.26
20716.55,1342.95,22059.5,22272.38,1409.48
19273.2,1316.3,20589.5,22017.19,1401.42
19549.2,1338.15,20887.35,21795.61,1394.36
19071.4,1274.85,20346.25,21465.41,1378.88
19389.55,1309.1,20698.65,21165.44,1366.14
20132.6,1476.6,21609.2,20910.83,1370.45
20347.05,1551.25,21898.3,20672.01,1387.21
20480.05,1544.65,22024.7,20434.38,1397.35
20617.4,1552.9,22170.3,20205.39,1409.58
20651.1,1556.9,22208.0,20022.81,1426.36
20531.2,1546.1,22077.3,20004.28,1446.68
20389.75,1519.95,21909.7,20115.93,1467.04
20451.65,1506.65,21958.3,20206.18,1483.9
19659.55,1474.15,21133.7,20264.99,1503.82
19716.15,1477.85,21194.0,20297.65,1520.7
19481.25,1505.65,20986.9,20232.52,1523.6
18950.85,1476.7,20427.55,20092.89,1516.15
19359.35,1442.6,20801.95,19980.83,1505.95
19750.05,1469.9,21219.95,19894.09,1497.64
22427.0,1634.8,24061.8,20071.68,1505.44
23374.65,1699.65,25074.3,20356.03,1520.79
23918.35,1694.45,25612.8,20708.89,1538.24
23753.6,1698.35,25451.95,21039.08,1557.41
23677.95,1689.3,25367.25,21440.92,1578.92
