Timestamp,nb_A,nb_W,nb_A_W
1734266770.1326294,2673,225,2898
1734266780.5660267,6116,433,6549
1734266790.69819,6579,703,7282
1734266800.8023915,5301,609,5910
1734266811.1672344,4098,360,4458
1734266821.2791862,6531,282,6813
